1,3.731e-06
1.25,3.6022e-06
1.5,3.795e-06
2,3.6693e-06
2.5,3.8367e-06
3,3.664e-06
3.75,3.6804e-06
4.5,3.6626e-06
5.5,3.6135e-06
6.75,3.6477e-06
8.25,3.5839e-06
10,3.8166e-06
12,3.7575e-06
14.5,3.6192e-06
17.5,3.7175e-06
21,3.7652e-06
25.25,4.0291e-06
30.5,4.0634e-06
36.75,5.3956e-06
44.25,5.2425e-06
53.25,5.5068e-06
64,5.5159e-06
77,5.462e-06
92.5,5.5575e-06
111,5.3732e-06
133.25,5.5867e-06
160,5.763e-06
192,6.1646e-06
230.5,6.908e-06
276.75,9.4162e-06
332.25,1.06794e-05
398.75,1.07881e-05
478.5,1.05765e-05
574.25,1.04615e-05
689.25,1.03172e-05
827.25,1.06468e-05
992.75,1.08441e-05
1191.5,1.20473e-05
1430,1.46581e-05
1716,1.61339e-05
2059.25,1.89471e-05
2471.25,2.49413e-05
2965.5,3.11436e-05
3558.75,3.48845e-05
4270.5,3.61006e-05
5124.75,3.68911e-05
6149.75,3.75233e-05
7379.75,3.83275e-05
8855.75,3.96955e-05
10627,3.91888e-05
12752.5,3.94403e-05
15303,4.09371e-05
